AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14707,14707,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SEXN+, sine imagine",SEXN...,,,,,,,,,,,
14803,14803,Dressel 20,Bonn,Bonn,50.73438,7.095485,"LQS, sine imagine",LQS,,Alcolea del Río,,,,,,,,,
14848,14848,Dressel 20,Bonn,Bonn,50.73438,7.095485,"PORPS, sine imagine",PORPS,,La Catria,,,,,,,,,
14891,14891,Dressel 20,Bonn,Theaterstrasse/Engeltalstrasse,50.73438,7.095485,|LSERALB'|,LSERALB,,,,,,,,,,,
14904,14904,Dressel 20,Bonn,Bonn,50.73438,7.095485,"ASAENI, sine imagine",ASAENI,,huerta del río,,,,,,,,,
14917,14917,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,Arva,,,,,,,,,
14917,14917,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXOFERREO, sine imagine",SAXOFERREO,,Huerta de Belén,,,,,,,,,
14922,14922,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SAXFERRIVS, sine imagine",SAXFERRIVS,,,,,,,,,,,
14928,14928,Dressel 20,Bonn,Bonn,50.73438,7.095485,"SCALCELS, sine imagine",SCALCELS,,Cerro de los Pesebres,,,,,,,,,
14995,14995,Dressel 20,Bonn,Bonn,50.73438,7.095485,"VIR+, sine imagine",VIR...?,,,,,,,,,,,
17921,17921,Dressel 20,Bonn,Bonn,50.73438,7.095485,|CIVEN'A^LBEP,CIVENALBEP,,Malpica,,,,,,,,,
20477,20477,Dressel 20,Bonn,Bonn,50.73438,7.095485,|G·A·[F],GAF,,Azanaque-Castillejo,,,,,,,,,
14028,14028,Dressel 20,Burghöfe,Burghöfe,48.6457,10.825275,[C]A'N^TO'N^IQ'V'I^E'T^I'|,CANTONIQVIETI,,Alcolea del Río,,,,,,,,,
14096,14096,Dressel 20,Burghöfe,Donau-Ries-Kreis,48.6457,10.825275,|A^FRICAN'I'|,AFRICANI,,,,,,,,,,,
14327,14327,Dressel 20,Butzbach,Kastell Butzbach,50.433886,8.672684,Q·F·'C|,QFC,,Peñaflor,,,,,,,,,
14344,14344,Dressel 20,Butzbach,Kastell Butzbach,50.433886,8.672684,"SFE, sine imagine",SFE,,,,,,,,,,,
14459,14459,Dressel 20,Butzbach,jüngeres Steinkastell B,50.433886,8.672684,|LIDFITALICA^E|,LIDFITALICAE,,,,,,,,,,,
14493,14493,Dressel 20,Butzbach,Kastell Butzbach,50.433886,8.672684,"QIMFN, sine imagine",QIMFN,,Malpica,,,,,,,,,
14507,14507,Dressel 20,Butzbach,Kastell Butzbach,50.433886,8.672684,|QIM!F*,QIMF & QIMF…,,El Judío,,,,,,,,,
14657,14657,Dressel 20,Butzbach,Kastell Butzbach,50.433886,8.672684,"PMV, sine imagine",PMV,,,,,,,,,,,
14244,14244,Dressel 20,Dahlheim,Dahlheim,50.210231,7.69445,"DEMOSTENE, sine imagine",DEMOSTENE,,,,,,,,,,,
37054,37054,Dressel 20,Darmstadt,Esch Estate,49.871674,8.650271,"AGRICOLAE, sine imagine",AGRICOLAE,,Casa de Mingaobez,,,,,,,,,
27403,27403,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,[PA]RVA,PARVA,,La Catria,,,,,,,,,
27403,27403,Dressel 20,Dieburg,Dieburg,49.897382,8.846132,|P·N·N|,PNN,,La Catria,,,,,,,,,
