id,lat,long,type,site,code,place
15759,54.883333,-2.933333,Dressel 20,Carlisle,PCHO,Britania
15864,54.883333,-2.933333,Dressel 20,Carlisle,SCLT,Britania
16061,54.883333,-2.933333,Dressel 20,Carlisle,PQHEHE,Britania
16169,54.883333,-2.933333,Dressel 20,Carlisle,QIMF,Britania
16179,54.883333,-2.933333,Dressel 20,Carlisle,PIR,Britania
16212,54.883333,-2.933333,Dressel 20,Carlisle,LIT,Britania
16353,54.883333,-2.933333,Dressel 20,Carlisle,CALLAS,Britania
16529,54.883333,-2.933333,Dressel 20,Carlisle,DOMS,Britania
16607,54.883333,-2.933333,Dressel 20,Carlisle,FPPOR,Britania
16654,54.883333,-2.933333,Dressel 20,Carlisle,LQS,Britania
16699,54.883333,-2.933333,Dressel 20,Carlisle,ROMANI,Britania
16712,54.883333,-2.933333,Dressel 20,Carlisle,ROMANIPALMA,Britania
16797,54.883333,-2.933333,Dressel 20,Carlisle,QSP,Britania
16874,54.883333,-2.933333,Dressel 20,Carlisle,SCA,Britania
17004,54.883333,-2.933333,Dressel 20,Carlisle,CTYC,Britania
17100,54.883333,-2.933333,Dressel 20,Carlisle,CALPVRPOT,Britania
17184,54.883333,-2.933333,Dressel 20,Carlisle,CIA,Britania
17201,54.883333,-2.933333,Dressel 20,Carlisle,M,Britania
32254,54.883333,-2.933333,Dressel 20,Carlisle,CANTONIQVIETI,Britania
32255,54.883333,-2.933333,Dressel 20,Carlisle,CANTONQ,Britania
32256,54.883333,-2.933333,Dressel 20,Carlisle,QFG,Britania
32257,54.883333,-2.933333,Dressel 20,Carlisle,DOMS,Britania
32258,54.883333,-2.933333,Dressel 20,Carlisle,LVC,Britania
33311,54.883333,-2.933333,Dressel 20,Carlisle,LPLVCA,Britania
33312,54.883333,-2.933333,Dressel 20,Carlisle,QICSEG,Britania
33313,54.883333,-2.933333,Dressel 20,Carlisle,ALFO,Britania
33314,54.883333,-2.933333,Dressel 20,Carlisle,AE,Britania
33315,54.883333,-2.933333,Dressel 20,Carlisle,QMR,Britania
33316,54.883333,-2.933333,Dressel 20,Carlisle,DECCA,Britania
33317,54.883333,-2.933333,Dressel 20,Carlisle,TFAMV,Britania
15805,55.983333,-3.95,Dressel 20,Castlecary,MMCS,Britania
16120,55.983333,-3.95,Dressel 20,Castlecary,LIDFITA,Britania
17085,55.983333,-3.95,Dressel 20,Castlecary,VIRGINENSIA,Britania
17178,55.983333,-3.95,Dressel 20,Castlecary,ANTIFDIS,Britania
16238,52.566667,-0.333333,Dressel 20,Castor,LIVNIMELISSI,Britania
15677,54.366667,-1.633333,Dressel 20,Catterick,IIAVRHERACLAEPATETFILFBAR,Britania
15775,54.366667,-1.633333,Dressel 20,Catterick,IICO,Britania
16781,54.366667,-1.633333,Dressel 20,Catterick,IPSI,Britania
15657,51.383333,0.516667,Dressel 20,Chatham,LATRVS,Britania
16156,51.8,-1.916667,Dressel 20,Chedworth,QIM,Britania
16640,51.733333,0.483333,Dressel 20,Chelmsford,MQFF,Britania
15380,53.2,-2.916667,Dressel 20,Chester,AA,Britania
15383,53.2,-2.916667,Dressel 20,Chester,AAFAAE,Britania
15407,53.2,-2.916667,Dressel 20,Chester,QAGEMELLI,Britania
15412,53.2,-2.916667,Dressel 20,Chester,LAGER,Britania
15415,53.2,-2.916667,Dressel 20,Chester,PORPAH,Britania
15416,53.2,-2.916667,Dressel 20,Chester,PORTPAH,Britania
15417,53.2,-2.916667,Dressel 20,Chester,PORTPAH,Britania
15420,53.2,-2.916667,Dressel 20,Chester,PAHSCALS,Britania
15455,53.2,-2.916667,Dressel 20,Chester,PORLAR,Britania
15465,53.2,-2.916667,Dressel 20,Chester,MAR,Britania
15477,53.2,-2.916667,Dressel 20,Chester,CAS,Britania
15520,53.2,-2.916667,Dressel 20,Chester,QAEOPO,Britania
15540,53.2,-2.916667,Dressel 20,Chester,AGRICOLAE,Britania
15546,53.2,-2.916667,Dressel 20,Chester,AGRICOLAE,Britania
15551,53.2,-2.916667,Dressel 20,Chester,CALVI,Britania
15566,53.2,-2.916667,Dressel 20,Chester,CANTONIQVIETI,Britania
15585,53.2,-2.916667,Dressel 20,Chester,CANQVCANOV,Britania
15591,53.2,-2.916667,Dressel 20,Chester,CANTONIQVIETI,Britania
15606,53.2,-2.916667,Dressel 20,Chester,CANTQVIETI,Britania
