id,lat,long,type,site,code,country,locationtype
14484,50.271515,8.566917,Dressel 20,Saalburg,QIMFN,Germany,Military Camp
14497,50.271515,8.566917,Dressel 20,Saalburg,QIMFS,Germany,Military Camp
14512,50.271515,8.566917,Dressel 20,Saalburg,PIRP,Germany,Military Camp
14519,50.271515,8.566917,Dressel 20,Saalburg,LISI,Germany,Military Camp
14525,50.271515,8.566917,Dressel 20,Saalburg,LIT,Germany,Military Camp
14528,50.271515,8.566917,Dressel 20,Saalburg,LIT,Germany,Military Camp
14536,50.271515,8.566917,Dressel 20,Saalburg,ISAFRIF,Germany,Military Camp
14571,50.271515,8.566917,Dressel 20,Saalburg,IIIENMELISSIETMELISSE,Germany,Military Camp
14574,50.271515,8.566917,Dressel 20,Saalburg,IIIVNMELISSIETMELISSEHEDERA,Germany,Military Camp
14583,50.271515,8.566917,Dressel 20,Saalburg,IIIVNMELISSIETMELISSE,Germany,Military Camp
14593,50.271515,8.566917,Dressel 20,Saalburg,IIIVNMELISSIETMELISSE,Germany,Military Camp
14610,50.271515,8.566917,Dressel 20,Saalburg,GLPV,Germany,Military Camp
14618,50.271515,8.566917,Dressel 20,Saalburg,CMMF,Germany,Military Camp
14619,50.271515,8.566917,Dressel 20,Saalburg,GMMF,Germany,Military Camp
14621,50.271515,8.566917,Dressel 20,Saalburg,GMMF,Germany,Military Camp
14636,50.271515,8.566917,Dressel 20,Saalburg,QMR,Germany,Military Camp
14654,50.271515,8.566917,Dressel 20,Saalburg,QMSDI,Germany,Military Camp
14655,50.271515,8.566917,Dressel 20,Saalburg,PMV,Germany,Military Camp
14671,50.271515,8.566917,Dressel 20,Saalburg,MEDIANAE,Germany,Military Camp
14672,50.271515,8.566917,Dressel 20,Saalburg,GNAC,Germany,Military Camp
14676,50.271515,8.566917,Dressel 20,Saalburg,PNN,Germany,Military Camp
14677,50.271515,8.566917,Dressel 20,Saalburg,PNN,Germany,Military Camp
14679,50.271515,8.566917,Dressel 20,Saalburg,PNN,Germany,Military Camp
14680,50.271515,8.566917,Dressel 20,Saalburg,PNN,Germany,Military Camp
14685,50.271515,8.566917,Dressel 20,Saalburg,PNNAR,Germany,Military Camp
14695,50.271515,8.566917,Dressel 20,Saalburg,SNR,Germany,Military Camp
14696,50.271515,8.566917,Dressel 20,Saalburg,SNR,Germany,Military Camp
14699,50.271515,8.566917,Dressel 20,Saalburg,SNR,Germany,Military Camp
14700,50.271515,8.566917,Dressel 20,Saalburg,SNR,Germany,Military Camp
14704,50.271515,8.566917,Dressel 20,Saalburg,SNR,Germany,Military Camp
14706,50.271515,8.566917,Dressel 20,Saalburg,PNSI,Germany,Military Camp
14709,50.271515,8.566917,Dressel 20,Saalburg,DOMS,Germany,Military Camp
14713,50.271515,8.566917,Dressel 20,Saalburg,DOMS,Germany,Military Camp
14715,50.271515,8.566917,Dressel 20,Saalburg,DOMS,Germany,Military Camp
14717,50.271515,8.566917,Dressel 20,Saalburg,DOMS,Germany,Military Camp
14745,50.271515,8.566917,Dressel 20,Saalburg,PPAC,Germany,Military Camp
14749,50.271515,8.566917,Dressel 20,Saalburg,APAMPHORACO,Germany,Military Camp
14754,50.271515,8.566917,Dressel 20,Saalburg,LPCHFILI,Germany,Military Camp
14756,50.271515,8.566917,Dressel 20,Saalburg,LPFLPE,Germany,Military Camp
14762,50.271515,8.566917,Dressel 20,Saalburg,MPM,Germany,Military Camp
14771,50.271515,8.566917,Dressel 20,Saalburg,APP,Germany,Military Camp
14777,50.271515,8.566917,Dressel 20,Saalburg,PMPS,Germany,Military Camp
14797,50.271515,8.566917,Dressel 20,Saalburg,LQS,Germany,Military Camp
14798,50.271515,8.566917,Dressel 20,Saalburg,LQS,Germany,Military Camp
14817,50.271515,8.566917,Dressel 20,Saalburg,LQSK,Germany,Military Camp
14821,50.271515,8.566917,Dressel 20,Saalburg,LQS,Germany,Military Camp
14829,50.271515,8.566917,Dressel 20,Saalburg,LRCARPS,Germany,Military Camp
