"","id","lat","long","type","site","code","country","locationtype"
"268",14328,50.271515,8.566917,"Dressel 20","Saalburg","QFC","Germany","Military Camp"
"269",14332,50.271515,8.566917,"Dressel 20","Saalburg","QFC","Germany","Military Camp"
"270",14341,50.271515,8.566917,"Dressel 20","Saalburg","SFE","Germany","Military Camp"
"271",14347,50.271515,8.566917,"Dressel 20","Saalburg","DFF","Germany","Military Camp"
"272",14372,50.271515,8.566917,"Dressel 20","Saalburg","QFPP","Germany","Military Camp"
"273",14390,50.271515,8.566917,"Dressel 20","Saalburg","FOLS","Germany","Military Camp"
"274",14391,50.271515,8.566917,"Dressel 20","Saalburg","QFVLNIC","Germany","Military Camp"
"275",14399,50.271515,8.566917,"Dressel 20","Saalburg","FGRV","Germany","Military Camp"
"276",14404,50.271515,8.566917,"Dressel 20","Saalburg","QHRSIL","Germany","Military Camp"
"277",14413,50.271515,8.566917,"Dressel 20","Saalburg","DIA","Germany","Military Camp"
"278",14431,50.271515,8.566917,"Dressel 20","Saalburg","QIAFS","Germany","Military Camp"
"279",14443,50.271515,8.566917,"Dressel 20","Saalburg","CIALB","Germany","Military Camp"
"280",14457,50.271515,8.566917,"Dressel 20","Saalburg","LIDFITA","Germany","Military Camp"
"281",14482,50.271515,8.566917,"Dressel 20","Saalburg","QIMFN","Germany","Military Camp"
"282",14483,50.271515,8.566917,"Dressel 20","Saalburg","QIMFN","Germany","Military Camp"
"283",14484,50.271515,8.566917,"Dressel 20","Saalburg","QIMFN","Germany","Military Camp"
"284",14497,50.271515,8.566917,"Dressel 20","Saalburg","QIMFS","Germany","Military Camp"
"285",14512,50.271515,8.566917,"Dressel 20","Saalburg","PIRP","Germany","Military Camp"
"286",14519,50.271515,8.566917,"Dressel 20","Saalburg","LISI","Germany","Military Camp"
"287",14525,50.271515,8.566917,"Dressel 20","Saalburg","LIT","Germany","Military Camp"
"288",14528,50.271515,8.566917,"Dressel 20","Saalburg","LIT","Germany","Military Camp"
"289",14536,50.271515,8.566917,"Dressel 20","Saalburg","ISAFRIF","Germany","Military Camp"
"290",14571,50.271515,8.566917,"Dressel 20","Saalburg","IIIENMELISSIETMELISSE","Germany","Military Camp"
"291",14574,50.271515,8.566917,"Dressel 20","Saalburg","IIIVNMELISSIETMELISSEHEDERA","Germany","Military Camp"
"292",14583,50.271515,8.566917,"Dressel 20","Saalburg","IIIVNMELISSIETMELISSE","Germany","Military Camp"
"293",14593,50.271515,8.566917,"Dressel 20","Saalburg","IIIVNMELISSIETMELISSE","Germany","Military Camp"
"294",14610,50.271515,8.566917,"Dressel 20","Saalburg","GLPV","Germany","Military Camp"
"295",14618,50.271515,8.566917,"Dressel 20","Saalburg","CMMF","Germany","Military Camp"
"296",14619,50.271515,8.566917,"Dressel 20","Saalburg","GMMF","Germany","Military Camp"
"297",14621,50.271515,8.566917,"Dressel 20","Saalburg","GMMF","Germany","Military Camp"
