id;lat;long;type;site;code;name
13702;-5.52751;37.658961;Dressel 20;Lora del Río;CMM;Baetica
38797;-5.082599;37.542203;Dressel 20;Écija;P;Baetica
12029;-5.02037;37.810702;Dressel 20;Almodóvar del Río;CANI;Baetica
26672;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
13010;-5.666942;37.615058;Dressel 20;Alcolea del Río;PNN;Baetica
12546;-6.041843;37.433953;Dressel 20;Santiponce;SATVRNINI;Baetica
28330;-5.666942;37.615058;Dressel 20;Alcolea del Río;MEDIANAE;Baetica
12474;-5.52751;37.658961;Dressel 20;Lora del Río;DIA;Baetica
28455;-5.082599;37.542203;Dressel 20;Écija;QIS;Baetica
11073;-5.52751;37.658961;Dressel 20;Lora del Río;POR;Baetica
38937;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
38927;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
28043;-5.52751;37.658961;Dressel 20;Lora del Río;POROCODV;Baetica
10896;-5.082599;37.542203;Dressel 20;Écija;LFC;Baetica
38909;-5.082599;37.542203;Dressel 20;Écija;CAMILIMELISSI;Baetica
12410;-5.082599;37.542203;Dressel 20;Écija;STATI;Baetica
10886;-5.082599;37.542203;Dressel 20;Écija;LAVRELIGERMANI;Baetica
26979;-5.233333;37.833333;Dressel 20;Hornachuelos;SCAM;Baetica
12995;-5.666942;37.615058;Dressel 20;Alcolea del Río;STATI;Baetica
13072;-5.666942;37.615058;Dressel 20;Alcolea del Río;R;Baetica
6666;-5.52751;37.658961;Dressel 20;Lora del Río;QAELIOPTATI;Baetica
11172;-5.52751;37.658961;Dressel 20;Lora del Río;IPC;Baetica
11416;-5.281208;37.700239;Dressel 20;Palma del Río;LVIBICHOMIS;Baetica
38898;-5.082599;37.542203;Dressel 20;Écija;LIVNIMELISSI;Baetica
11640;-5.107258;37.802053;Dressel 20;Posadas;RND;Baetica
860;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
29666;-5.871389;37.549445;Dressel 20;Brenes;VIRAV;Baetica
26682;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
13092;-5.646083;37.471248;Dressel 20;Carmona;STA;Baetica
26741;-5.233333;37.833333;Dressel 20;Hornachuelos;LFC;Baetica
6968;-5.52751;37.658961;Dressel 20;Lora del Río;POROCODV;Baetica
